Institution,State,Institution Type,MSI,10yr Earnings Premium,Meets Threshold 1
Bellus Academy-El Cajon,CA,2-Year,Non-MSI,30807,FALSE
American Jewish University,CA,4-year,Non-MSI,61954,TRUE
Reedley College,CA,2-Year,HSI,38493,FALSE
Life Pacific University,CA,4-year,HSI,43299,FALSE
University of La Verne,CA,4-year,HSI,65464,TRUE
Laguna College of Art and Design,CA,4-year,Non-MSI,47867,FALSE
Lake Tahoe Community College,CA,2-Year,HSI,36657,FALSE
Lancaster Beauty School,CA,Less-than-2-year,Non-MSI,16220,FALSE
Laney College,CA,2-Year,AANAPII,37282,FALSE
Lassen Community College,CA,2-Year,Non-MSI,35994,FALSE
Latin American Bible Institute,CA,4-year,HSI,NA,NA
Life Chiropractic College West,CA,4-year,Non-MSI,NA,NA
Lincoln University,CA,4-year,Non-MSI,53695,FALSE
Southern California Seminary,CA,4-year,Non-MSI,39607,FALSE
La Sierra University,CA,4-year,AANAPII,61824,TRUE
Loma Linda University,CA,4-year,AANAPII,89816,TRUE
Long Beach City College,CA,2-Year,HSI,38870,FALSE
Southern California University of Health Sciences,CA,4-year,HSI,70649,TRUE
Los Angeles Harbor College,CA,2-Year,AANAPII,41133,FALSE
Los Angeles Pierce College,CA,2-Year,HSI,44521,FALSE
Los Angeles Southwest College,CA,2-Year,PBI,32172,FALSE
Los Angeles Trade Technical College,CA,2-Year,HSI,35233,FALSE
Los Angeles Valley College,CA,2-Year,HSI,42678,FALSE
The Master's University and Seminary,CA,4-year,Non-MSI,57106,TRUE
Los Angeles City College,CA,2-Year,AANAPII,36190,FALSE
Los Angeles County College of Nursing and Allied Health,CA,2-Year,Non-MSI,115318,TRUE
Los Angeles Mission College,CA,2-Year,HSI,39834,FALSE
Los Medanos College,CA,2-Year,AANAPII,42454,FALSE
Loyola Marymount University,CA,4-year,AANAPII,78349,TRUE
Lu Ross Academy,CA,Less-than-2-year,Non-MSI,23148,FALSE
Lyle's College of Beauty,CA,Less-than-2-year,Non-MSI,25913,FALSE
Lyle's College of  Beauty,CA,Less-than-2-year,Non-MSI,25913,FALSE
Lytles Redwood Empire Beauty College,CA,Less-than-2-year,Non-MSI,20358,FALSE
MTI College,CA,2-Year,Non-MSI,45328,FALSE
College of Marin,CA,2-Year,Non-MSI,42654,FALSE
Mendocino College,CA,2-Year,HSI,40243,FALSE
Menlo College,CA,4-year,AANAPII,76419,TRUE
Merced College,CA,2-Year,HSI,37815,FALSE
Merritt College,CA,2-Year,AANAPII,44392,FALSE
MiraCosta College,CA,4-year,HSI,43845,FALSE
Mission College,CA,2-Year,AANAPII,50936,FALSE
Modern Beauty Academy,CA,Less-than-2-year,Non-MSI,22477,FALSE
Modesto Junior College,CA,4-year,HSI,42368,FALSE
Moler Barber College,CA,Less-than-2-year,Non-MSI,15204,FALSE
Middlebury Institute of International Studies at Monterey,CA,4-year,Non-MSI,76310,TRUE
Monterey Peninsula College,CA,2-Year,HSI,42176,FALSE
Moorpark College,CA,2-Year,HSI,49044,FALSE
Mt San Antonio College,CA,2-Year,AANAPII,46283,FALSE
Mount Saint Mary's University,CA,4-year,AANAPII,72379,TRUE
Mt San Jacinto Community College District,CA,2-Year,HSI,38319,FALSE
Musicians Institute,CA,4-year,Non-MSI,32778,FALSE
Napa Valley College,CA,2-Year,HSI,49517,FALSE
National Holistic Institute,CA,Less-than-2-year,Non-MSI,27978,FALSE
National University,CA,4-year,HSI,67548,TRUE
Naval Postgraduate School,CA,4-year,Non-MSI,NA,NA
Newschool of Architecture and Design,CA,4-year,Non-MSI,68891,TRUE
North Adrian's College of Beauty Inc,CA,Less-than-2-year,Non-MSI,27269,FALSE
North-West College-Pomona,CA,Less-than-2-year,Non-MSI,39876,FALSE
North-West College-West Covina,CA,2-Year,Non-MSI,37542,FALSE
North-West College-Van Nuys,CA,Less-than-2-year,Non-MSI,32488,FALSE
San Francisco Bay University,CA,4-year,Non-MSI,NA,NA
Notre Dame de Namur University,CA,4-year,HSI,74576,TRUE
Occidental College,CA,4-year,Non-MSI,75951,TRUE
Ohlone College,CA,2-Year,AANAPII,54278,FALSE
Orange Coast College,CA,2-Year,AANAPII,47348,FALSE
Otis College of Art and Design,CA,4-year,Non-MSI,58152,TRUE
Oxnard College,CA,2-Year,HSI,41393,FALSE
Hope International University,CA,4-year,HSI,49697,FALSE
Concorde Career College-San Diego,CA,2-Year,Non-MSI,39169,FALSE
Palo Alto University,CA,4-year,AANAPII,83187,TRUE
Pacific Oaks College,CA,4-year,HSI,52485,FALSE
Pacific School of Religion,CA,4-year,Non-MSI,NA,NA
Pacific States University,CA,4-year,Non-MSI,NA,NA
Pacific Union College,CA,4-year,AANAPII,70484,TRUE
University of the Pacific,CA,4-year,AANAPII,78445,TRUE
Palo Verde College,CA,2-Year,HSI,36389,FALSE
Palomar College,CA,2-Year,HSI,42300,FALSE
Pasadena City College,CA,2-Year,AANAPII,43937,FALSE
Pepperdine University,CA,4-year,Non-MSI,82939,TRUE
Pitzer College,CA,4-year,Non-MSI,69512,TRUE
Platt College-San Diego,CA,4-year,Non-MSI,49782,FALSE
Point Loma Nazarene University,CA,4-year,Non-MSI,63998,TRUE
Pomona College,CA,4-year,Non-MSI,77779,TRUE
Porterville College,CA,2-Year,HSI,36328,FALSE
Professional Institute of Beauty,CA,Less-than-2-year,Non-MSI,16886,FALSE
Santa Ana College,CA,4-year,AANAPII,43552,FALSE
Pardee RAND Graduate School,CA,4-year,Non-MSI,NA,NA
Shasta School of Cosmetology,CA,Less-than-2-year,Non-MSI,NA,NA
University of Redlands,CA,4-year,HSI,72690,TRUE
College of the Redwoods,CA,2-Year,HSI,36243,FALSE
Salon Success Academy-Upland,CA,Less-than-2-year,Non-MSI,26956,FALSE
Salon Success Academy-Corona,CA,Less-than-2-year,Non-MSI,22412,FALSE
Rio Hondo College,CA,4-year,HSI,44950,FALSE
Riverside City College,CA,2-Year,HSI,41091,FALSE
Dongguk University Los Angeles,CA,4-year,AANAPII,NA,NA
Sacramento City College,CA,2-Year,HSI,42214,FALSE
Saddleback College,CA,2-Year,AANAPII,50874,FALSE
Samuel Merritt University,CA,4-year,Non-MSI,143238,TRUE
San Diego City College,CA,2-Year,Non-MSI,38503,FALSE
San Diego Mesa College,CA,4-year,AANAPII,45120,FALSE
San Diego Miramar College,CA,2-Year,AANAPII,48224,FALSE
San Diego State University,CA,4-year,AANAPII,64909,TRUE
University of San Diego,CA,4-year,Non-MSI,86522,TRUE
San Francisco Conservatory of Music,CA,4-year,Non-MSI,NA,NA
San Francisco State University,CA,4-year,AANAPII,68077,TRUE
University of San Francisco,CA,4-year,AANAPII,89812,TRUE
San Joaquin College of Law,CA,4-year,Non-MSI,NA,NA
San Joaquin Delta College,CA,2-Year,AANAPII,43212,FALSE
San Joaquin Valley College-Visalia,CA,4-year,Non-MSI,38317,FALSE
San Joaquin Valley College-Bakersfield,CA,2-Year,Non-MSI,38317,FALSE
William Jessup University,CA,4-year,Non-MSI,56257,TRUE
San Jose City College,CA,2-Year,AANAPII,46215,FALSE
San Jose State University,CA,4-year,AANAPII,78988,TRUE
College of San Mateo,CA,2-Year,AANAPII,54172,FALSE
