INSTNM,CITY,STATE,ZIP,ACCREDAGENCY,Modified_PEP_ROI,Original_PEP_ROI,PCTPELL,MSI_TYPE
Emory & Henry University,Emory,VA,24327-0947,Southern Association of Colleges and Schools Commission on Colleges,0.11989097657156113,8.34091128954242,0.4271,Non-MSI
Eastern Mennonite University,Harrisonburg,VA,22802-2462,Southern Association of Colleges and Schools Commission on Colleges,0.1081293630957511,9.248181727607852,0.3069,Non-MSI
Eastern Shore Community College,Melfa,VA,23410,Southern Association of Colleges and Schools Commission on Colleges,-0.3238238724727838,-3.0880984541497822,0.394,Non-MSI
Ferrum College,Ferrum,VA,24088-9000,Southern Association of Colleges and Schools Commission on Colleges,0.036738351254480286,27.21951219512195,0.5098,Non-MSI
George Mason University,Fairfax,VA,22030-4444,Southern Association of Colleges and Schools Commission on Colleges,0.4204342824273799,2.3784930054383144,0.2965,AANAPII
Germanna Community College,Locust Grove,VA,22508-2102,Southern Association of Colleges and Schools Commission on Colleges,0.016704892966360855,59.862700228832956,0.2556,Non-MSI
Hampden-Sydney College,Hampden-Sydney,VA,23943-0128,Southern Association of Colleges and Schools Commission on Colleges,0.2413044340445784,4.144142663434277,0.1998,Non-MSI
Hampton University,Hampton,VA,23668-0099,Southern Association of Colleges and Schools Commission on Colleges,0.09526424921626225,10.497117315540583,0.1709,HBCU
Hollins University,Roanoke,VA,24020,Southern Association of Colleges and Schools Commission on Colleges,0.03665413533834586,27.282051282051285,0.3619,Non-MSI
J Sargeant Reynolds Community College,Richmond,VA,23228-2327,Southern Association of Colleges and Schools Commission on Colleges,-0.018828751431844214,-53.11026615969582,0.3098,Non-MSI
